sttn_idntfr,sttn_std_idntfr,sttn_ty,centr_cartrk_se,korean_nm,shrten_nm,la,lo,detect_headg_value,link_idntfr,link_la,link_lo,link_isesttn_sn,link_isesttn_dstnc,start_dcs_dstnc,arvl_dcs_dstnc,reform_no,sttn_svc_idntfr,sttn_svc_nm
1065,355004440,1,0,물내음 공원입구,물내음 공원입구,128.4280336,36.15481947,180,3550135400,128.428122,36.15481947,2,329,50,50,1348,11065,
1066,355004441,1,0,물내음 공원입구건너,물내음 공원입구건너,128.4283149,36.15472305,0,3550135500,128.4282425,36.15462663,1,72,50,50,1348,11066,
1067,355004442,1,0,골드클래스건너,골드클래스건너,128.4280015,36.1573987,180,3550135400,128.4280658,36.15729424,1,35,50,50,1348,11067,
1068,355004443,1,0,골드클래스앞,골드클래스앞,128.4282666,36.15738263,0,3550135500,128.4281943,36.15735049,2,293,50,50,1348,11068,
1069,355004444,1,0,우미린센트럴파크 후문건너,쌍용예가앞,128.4321,36.16133747,269,3550135600,128.4320891,36.16127211,1,215,50,50,1382,11069,
1070,355004445,1,0,우미린센트럴파크 후문,쌍용예가 건너,128.4311596,36.16106566,90,3550135700,128.4311596,36.1611219,2,600,50,50,1393,11070,
1071,355004446,1,0,중흥S클래스에코시티,인덕중학교앞,128.4389753,36.1613464,270,3550135800,128.4389753,36.16128212,1,52,50,50,1386,11071,
1072,355004449,1,0,강변코오롱하늘채앞,강변코오롱하늘채앞,128.3747958,36.1239579,90,3550142000,128.374852,36.12396593,1,69,50,50,1408,11072,
1073,355004450,1,0,강변코오롱하늘채건너,강변코오롱하늘채건너,128.3747556,36.12413467,305,3550141900,128.3747556,36.12407842,1,462,50,50,1408,11073,
1074,355004451,1,0,송림,송림,128.3642034,36.16782517,230,3550095200,128.3640836,36.1677816,1,301.9,50,50,1372,11074,
1075,355004452,1,0,구미대학교정문1,구미대학교정문1,128.2896742,36.14859506,180,3550133500,128.2897465,36.14861113,2,292,50,50,1372,11075,
1076,355004453,1,0,구미대학교정문,구미대학교정문,128.2899232,36.14853078,350,3550133400,128.2898911,36.14848257,1,26,50,50,1372,11076,
1077,355004457,1,0,하장리,하장리,128.4853468,36.13213823,135,3550013800,128.4853741,36.13214368,1,22,50,50,1377,11077,
1078,355004460,1,0,궁기1리 웃장터(신곡방면),웃장터(신곡방면),128.3287754,36.304634,160,3550000800,128.3287373,36.30460132,2,672,50,50,1379,11078,
1079,355004459,1,0,웃장터(도개정류장행),웃장터(도개정류장행),128.3283723,36.30484644,100,3550006900,128.3283832,36.30491181,4,1513,50,50,1378,11079,
1080,355004461,1,0,궁기2리 농바우(신곡방면),농바우(신곡방면),128.3365428,36.31064422,45,3550063000,128.3365537,36.31062243,2,980,50,50,1378,11080,
1081,355004462,1,0,궁기2리 농바우(임호방면),농바우(임호방면),128.3365374,36.31077495,233,3550006600,128.3365047,36.31080219,2,1392,50,50,1378,11081,
1082,355004463,1,0,월림2리 야가실(동산리방면),야가실(동산리방면),128.321911,36.31212487,315,3550049600,128.3218387,36.31218915,2,1090,50,50,1378,11082,
1083,355004464,1,0,월림2리 야가실(도개정류장방면),야가실(도개정류장행),128.3216676,36.31216863,110,3550006900,128.3216839,36.31219587,2,442,50,50,1378,11083,
1084,355004465,1,0,용산리 새마(용산2리 마을회관방면),용산리새마(용산2리,128.2951021,36.33784625,80,3550048300,128.2950803,36.33787349,2,1412,50,50,1398,11084,
1085,355004466,1,0,용산리 새마(가산리방면),용산리새마(가산리,128.2949441,36.33798788,260,3550005400,128.2949823,36.33794975,1,375,50,50,1378,11085,
